iter	MultiClass
0	1.046880342
1	1.005436765
2	0.9724803176
3	0.9456015536
4	0.9235423341
5	0.9052309333
6	0.8896562558
7	0.8763336849
8	0.8652804128
9	0.8562851267
10	0.8484698444
11	0.84238029
12	0.8365945646
13	0.8320198424
14	0.827721485
15	0.8241625409
16	0.821391028
17	0.8189406071
18	0.8168279368
19	0.8145672128
20	0.8128134458
21	0.810996784
22	0.8096362511
23	0.8085603573
24	0.8073319738
25	0.8061049628
26	0.8050920451
27	0.8044984755
28	0.8038428565
29	0.8028424214
30	0.8020820308
31	0.8015863708
32	0.8011132516
33	0.8002548749
34	0.7994344167
35	0.7988246472
36	0.79815453
37	0.7977413883
38	0.7974997246
39	0.7966186641
40	0.7961392856
41	0.7957785613
42	0.7954198155
43	0.7951524839
44	0.7949311046
45	0.7944579067
46	0.7940019836
47	0.7938651916
48	0.7932512511
49	0.7929840498
50	0.7927143927
51	0.7923687386
52	0.7918633171
53	0.7916475882
54	0.790723377
55	0.7904378662
56	0.7901699946
57	0.7895283359
58	0.7889529042
59	0.7884364841
60	0.7879308723
61	0.7871898889
62	0.7866972867
63	0.786516073
64	0.7861225235
65	0.7858099111
66	0.7854746803
67	0.7853232637
68	0.7848572033
69	0.7844695747
70	0.7841165075
71	0.7836113123
72	0.7833098556
73	0.7831463887
74	0.7828353681
75	0.7824487127
76	0.7822184161
77	0.7819104675
78	0.7817234142
79	0.7813954452
80	0.7809612763
81	0.7806568822
82	0.7804253472
83	0.7800004516
84	0.779776307
85	0.7796114818
86	0.7793325521
87	0.7788721589
88	0.7786730171
89	0.7781154982
90	0.7776240131
91	0.7774464263
92	0.7771108824
93	0.7769044996
94	0.7766738394
95	0.776328276
96	0.7759274426
97	0.7756398249
98	0.7749376335
99	0.7745979747
100	0.7743123579
101	0.77409148
102	0.773735636
103	0.7735997928
104	0.7733847182
105	0.773228511
106	0.772925822
107	0.7724447746
108	0.7723260851
109	0.7720048649
110	0.7715315843
111	0.7711232984
112	0.7707953036
113	0.7705635048
114	0.7702423586
115	0.7695955793
116	0.7691716006
117	0.7687456999
118	0.7678516331
119	0.7673824354
120	0.7672549787
121	0.7669082012
122	0.7663757955
123	0.7659852925
124	0.765829657
125	0.7655958504
126	0.7650236411
127	0.7645975494
128	0.7644705081
129	0.7638594491
130	0.763712243
131	0.7630699583
132	0.7624937719
133	0.7623027365
134	0.7619684657
135	0.7616411947
136	0.7613235894
137	0.7610632966
138	0.7607708488
139	0.7604314507
140	0.7600725478
141	0.759806103
142	0.7596087342
143	0.759199648
144	0.7588720043
145	0.7587423794
146	0.7585992398
147	0.7584349792
148	0.7577179582
149	0.7573848802
150	0.7571448187
151	0.7570399371
152	0.756745506
153	0.7565020575
154	0.7561776501
155	0.755474785
156	0.7549958281
157	0.7547609228
158	0.7543869604
159	0.7540939962
160	0.7535983487
161	0.7533590527
162	0.7529899582
163	0.7528267326
164	0.7524394219
165	0.7516690202
166	0.7512421812
167	0.7509585426
168	0.7506885411
169	0.7504778072
170	0.7502414667
171	0.749992706
172	0.749764108
173	0.7494380124
174	0.7491216067
175	0.7489475012
176	0.7484616755
177	0.7480840985
178	0.7474365373
179	0.7471739724
180	0.7469893187
181	0.7466337655
182	0.7464096771
183	0.7462431347
184	0.7460147185
185	0.7457644769
186	0.7455321185
187	0.7453102189
188	0.745166914
189	0.7448265282
190	0.7446613623
191	0.7445135397
192	0.744263989
193	0.7437338925
194	0.7435833822
195	0.7431284139
196	0.7428272214
197	0.742595388
198	0.7421286738
199	0.7417472399
200	0.7414840388
201	0.7412690581
202	0.7408260699
203	0.740405675
204	0.740311082
205	0.7399875424
206	0.7398193146
207	0.7393125982
208	0.7391659231
209	0.7388641872
210	0.7386774648
211	0.7384160636
