iter	Passed	Remaining
426	1997	2680
427	2002	2676
428	2007	2671
429	2012	2667
430	2016	2662
431	2021	2657
432	2026	2653
433	2030	2648
434	2035	2643
435	2039	2638
436	2044	2633
437	2048	2628
438	2053	2623
439	2057	2618
440	2061	2613
441	2065	2608
442	2070	2602
443	2074	2597
444	2079	2593
445	2084	2588
446	2088	2583
447	2092	2578
448	2097	2574
449	2102	2569
450	2106	2563
451	2110	2559
452	2114	2553
453	2119	2549
454	2125	2545
455	2129	2540
456	2133	2535
457	2138	2530
458	2142	2525
459	2147	2520
460	2151	2515
461	2156	2510
462	2160	2505
463	2165	2502
464	2170	2497
465	2174	2492
466	2179	2487
467	2183	2482
468	2188	2477
469	2192	2472
470	2197	2467
471	2202	2463
472	2206	2458
473	2210	2453
474	2215	2448
475	2219	2443
476	2223	2438
477	2228	2433
478	2232	2428
479	2237	2423
480	2240	2417
481	2245	2413
482	2249	2407
483	2254	2403
484	2258	2398
485	2262	2393
486	2266	2387
487	2270	2382
488	2274	2377
489	2279	2372
490	2284	2367
491	2288	2362
492	2292	2357
493	2297	2353
494	2301	2348
495	2306	2343
496	2310	2338
497	2315	2333
498	2319	2328
499	2324	2324
500	2328	2319
501	2333	2314
502	2337	2309
503	2341	2304
504	2347	2300
505	2351	2296
506	2356	2291
507	2361	2286
508	2365	2282
509	2370	2277
510	2375	2272
511	2379	2267
512	2384	2263
513	2388	2258
514	2393	2253
515	2397	2248
516	2403	2245
517	2407	2240
518	2412	2236
519	2417	2231
520	2421	2226
521	2426	2221
522	2430	2216
523	2435	2212
524	2439	2207
525	2444	2202
526	2448	2197
527	2453	2193
528	2457	2187
529	2461	2182
530	2466	2178
531	2470	2173
532	2475	2168
533	2479	2163
534	2484	2159
535	2488	2154
536	2492	2149
537	2497	2144
538	2502	2140
539	2506	2135
540	2511	2130
541	2515	2125
542	2520	2121
543	2525	2117
544	2530	2112
545	2534	2107
546	2539	2103
547	2543	2098
548	2548	2093
549	2553	2088
550	2557	2083
551	2562	2079
552	2567	2075
553	2574	2072
554	2578	2067
555	2583	2062
556	2587	2057
557	2591	2052
558	2596	2048
559	2600	2043
560	2605	2038
561	2609	2033
562	2613	2028
563	2617	2023
564	2622	2019
565	2626	2014
566	2631	2009
567	2636	2005
568	2641	2000
569	2646	1996
570	2651	1991
571	2655	1987
572	2660	1982
573	2664	1977
574	2668	1972
575	2672	1967
576	2676	1962
577	2680	1957
578	2685	1952
579	2689	1947
580	2694	1943
581	2698	1938
582	2703	1933
583	2707	1928
584	2711	1923
585	2715	1918
586	2719	1913
587	2725	1909
588	2729	1904
589	2733	1899
590	2738	1895
591	2742	1890
592	2747	1885
593	2752	1881
594	2756	1876
595	2761	1871
596	2765	1866
597	2769	1862
598	2774	1857
599	2778	1852
600	2782	1847
601	2787	1843
602	2792	1838
603	2796	1833
604	2801	1828
605	2805	1824
606	2810	1819
607	2814	1814
608	2818	1809
609	2823	1805
610	2828	1800
611	2832	1796
612	2837	1791
613	2841	1786
614	2845	1781
615	2850	1777
616	2855	1772
617	2859	1767
618	2863	1762
619	2868	1757
620	2872	1753
621	2877	1748
622	2882	1744
623	2886	1739
624	2890	1734
625	2895	1729
626	2900	1725
627	2904	1720
628	2908	1715
629	2912	1710
630	2917	1706
631	2922	1701
632	2927	1697
633	2931	1692
634	2935	1687
635	2939	1682
636	2944	1677
637	2949	1673
638	2953	1668
639	2958	1664
640	2962	1659
641	2967	1654
642	2971	1649
643	2976	1645
644	2980	1640
645	2984	1635
646	2989	1630
647	2993	1626
648	2998	1621
649	3002	1616
650	3007	1612
651	3011	1607
652	3015	1602
653	3020	1597
654	3024	1593
655	3029	1588
656	3034	1584
657	3038	1579
658	3043	1574
659	3047	1569
660	3051	1565
661	3055	1560
662	3060	1555
663	3065	1551
664	3069	1546
665	3073	1541
666	3078	1537
667	3082	1532
668	3087	1527
669	3092	1523
670	3097	1518
671	3101	1513
672	3105	1509
