측정일시,미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2018-07-30,9.6,5.4
2018-07-31,15.8,9.0
2018-08-01,31.0,19.2
2018-08-02,38.4,27.4
2018-08-03,42.6,32.6
2018-08-04,26.0,18.6
2018-08-05,24.2,16.4
2018-08-06,26.8,18.4
2018-08-07,19.0,12.4
2018-08-08,26.0,17.8
2018-08-09,22.0,16.4
2018-08-10,14.8,8.8
2018-08-11,8.6,4.8
2018-08-12,13.2,9.2
2018-08-13,31.4,23.2
2018-08-14,28.4,20.2
2018-08-15,27.8,20.2
2018-08-16,15.2,8.6
2018-08-17,12.0,4.8
2018-08-18,15.2,6.0
2018-08-19,22.0,12.0
2018-08-20,31.8,20.0
2018-08-21,22.4,13.2
2018-08-22,23.2,13.8
2018-08-23,12.2,6.2
2018-08-24,7.6,4.2
2018-08-25,22.2,11.8
2018-08-26,16.2,9.8
2018-08-27,8.4,4.6
2018-08-28,8.6,4.4
2018-08-29,12.6,6.8
2018-08-30,26.0,17.6
2018-08-31,24.0,13.8
2018-09-01,18.2,8.6
2018-09-02,11.8,5.2
2018-09-03,13.6,6.6
2018-09-04,16.2,6.8
2018-09-05,25.6,9.4
2018-09-06,32.6,17.6
2018-09-07,24.4,11.4
2018-09-08,24.0,9.2
2018-09-09,18.8,8.8
2018-09-10,11.2,4.4
2018-09-11,12.2,4.4
2018-09-12,15.2,6.0
2018-09-13,17.8,8.2
2018-09-14,17.0,9.2
2018-09-15,11.8,5.4
2018-09-16,33.4,22.4
2018-09-17,25.8,13.6
2018-09-18,34.8,16.0
2018-09-19,38.0,17.8
2018-09-20,14.8,7.8
2018-09-21,7.4,2.8
2018-09-22,28.6,10.4
2018-09-23,27.2,9.2
2018-09-24,12.8,5.2
2018-09-25,13.2,6.2
2018-09-26,6.8,3.8
2018-09-27,8.6,3.8
2018-09-28,12.4,5.2
2018-09-29,15.6,7.0
2018-09-30,18.6,8.4
2018-10-01,18.0,7.4
2018-10-02,25.0,11.8
2018-10-03,29.8,15.0
2018-10-04,19.8,10.2
2018-10-05,10.2,4.6
2018-10-06,5.2,2.6
2018-10-07,24.0,9.4
2018-10-08,22.2,7.2
2018-10-09,23.6,9.2
2018-10-10,16.8,8.8
2018-10-11,16.2,6.6
2018-10-12,24.4,11.6
2018-10-13,30.4,17.2
2018-10-14,30.8,18.6
2018-10-15,56.0,33.4
2018-10-16,52.6,29.0
2018-10-17,34.8,18.2
2018-10-18,15.0,6.8
2018-10-19,19.2,8.2
2018-10-20,37.6,18.0
2018-10-21,36.0,20.2
2018-10-22,48.4,28.8
2018-10-23,47.8,26.8
2018-10-24,39.0,16.8
2018-10-25,37.2,17.6
2018-10-26,33.8,17.0
2018-10-27,25.8,5.0
2018-10-28,12.8,6.6
2018-10-29,16.4,6.8
2018-10-30,20.6,9.6
2018-10-31,22.0,10.8
2018-11-01,38.0,20.0
2018-11-02,42.6,23.8
2018-11-03,51.6,31.8
2018-11-04,44.0,28.4
2018-11-05,57.2,35.2
2018-11-06,96.0,64.0
2018-11-07,55.6,39.0
2018-11-08,7.4,4.0
2018-11-09,39.0,22.4
2018-11-10,71.0,44.2
2018-11-11,65.8,40.4
2018-11-12,28.0,14.8
2018-11-13,39.6,22.8
2018-11-14,32.6,20.0
2018-11-15,44.6,28.2
2018-11-16,55.6,38.0
2018-11-17,33.4,18.8
2018-11-18,37.2,23.6
2018-11-19,56.0,31.0
2018-11-20,47.2,18.4
2018-11-21,34.4,16.0
2018-11-22,20.2,8.4
2018-11-23,25.6,11.8
2018-11-24,20.8,13.0
2018-11-25,42.0,31.0
2018-11-26,56.4,36.2
2018-11-27,108.6,48.2
2018-11-28,120.6,21.8
2018-11-29,76.0,20.8
2018-11-30,61.8,22.2
2018-12-01,46.8,22.6
2018-12-02,44.8,22.6
2018-12-03,41.2,21.8
2018-12-04,32.0,15.6
2018-12-05,27.0,11.6
2018-12-06,35.2,16.2
2018-12-07,20.0,8.6
2018-12-08,21.8,8.2
2018-12-09,22.4,10.4
2018-12-10,35.0,18.0
2018-12-11,36.6,21.2
2018-12-12,43.8,22.8
2018-12-13,37.4,22.6
2018-12-14,32.4,17.8
2018-12-15,53.4,36.4
2018-12-16,51.2,38.8
2018-12-17,68.2,46.0
2018-12-18,45.0,27.0
2018-12-19,50.0,31.4
2018-12-20,54.2,35.0
2018-12-21,71.0,46.6
2018-12-22,82.4,60.0
2018-12-23,50.0,29.2
2018-12-24,22.0,12.0
2018-12-25,33.4,22.0
2018-12-26,45.0,24.6
2018-12-27,26.2,8.6
2018-12-28,32.8,13.8
2018-12-29,35.6,9.4
2018-12-30,31.0,18.4
2018-12-31,46.0,32.0
2019-01-01,37.6,27.0
2019-01-02,33.4,23.8
2019-01-03,42.4,29.0
2019-01-04,60.4,44.2
2019-01-05,66.4,45.4
2019-01-06,48.4,25.6
2019-01-07,56.4,39.2
2019-01-08,37.2,18.6
2019-01-09,50.0,23.4
2019-01-10,62.4,38.4
2019-01-11,73.6,54.4
2019-01-12,91.6,70.6
2019-01-13,109.8,84.2
2019-01-14,164.2,131.4
2019-01-15,131.8,85.4
2019-01-16,48.2,19.0
2019-01-17,40.2,23.2
2019-01-18,60.6,40.2
2019-01-19,95.4,70.6
2019-01-20,64.2,33.8
2019-01-21,45.4,23.4
2019-01-22,66.6,35.8
2019-01-23,70.0,43.8
2019-01-24,41.8,22.8
2019-01-25,49.8,22.8
2019-01-26,41.0,20.6
2019-01-27,38.6,24.0
2019-01-28,82.2,24.2
2019-01-29,67.4,25.2
2019-01-30,64.6,36.4
2019-01-31,72.2,24.0
2019-02-01,41.0,19.8
2019-02-02,58.6,39.2
2019-02-03,38.8,30.0
2019-02-04,73.2,39.0
2019-02-05,81.4,29.0
2019-02-06,92.2,35.4
2019-02-07,60.4,33.8
2019-02-08,32.2,18.8
2019-02-09,34.6,18.2
2019-02-10,41.4,25.2
2019-02-11,39.0,24.6
2019-02-12,58.2,39.2
2019-02-13,38.0,22.0
2019-02-14,50.6,28.8
2019-02-15,39.0,30.0
2019-02-16,57.8,49.4
2019-02-17,37.4,28.4
2019-02-18,44.4,30.2
2019-02-19,43.4,35.2
2019-02-20,61.2,51.8
2019-02-21,81.6,69.4
2019-02-22,75.2,60.2
2019-02-23,53.4,39.4
2019-02-24,60.8,50.4
2019-02-25,86.4,66.4
2019-02-26,56.0,32.2
2019-02-27,68.4,45.4
2019-02-28,90.8,64.8
2019-03-01,117.8,86.2
2019-03-02,114.6,83.6
2019-03-03,103.2,76.0
2019-03-04,152.0,108.8
2019-03-05,188.0,140.4
2019-03-06,137.6,99.8
2019-03-07,52.8,36.8
2019-03-08,49.6,29.8
2019-03-09,45.4,30.2
2019-03-10,49.0,34.4
2019-03-11,69.0,45.6
2019-03-12,83.0,52.2
2019-03-13,40.0,12.2
2019-03-14,41.6,20.2
2019-03-15,56.0,32.8
2019-03-16,39.4,29.4
2019-03-17,35.4,23.0
2019-03-18,39.4,24.0
2019-03-19,68.6,45.2
2019-03-20,96.4,71.0
2019-03-21,33.6,26.8
2019-03-22,35.2,20.8
2019-03-23,23.0,15.6
2019-03-24,25.4,14.0
2019-03-25,47.4,29.2
2019-03-26,59.4,36.2
2019-03-27,93.2,60.6
2019-03-28,82.4,51.4
2019-03-29,38.6,20.2
2019-03-30,35.0,24.4
2019-03-31,41.2,26.4
